Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Region,Continent,Origin,Associated Disaster,OFDA Response,Disaster Magnitude Value,Latitude,Longitude,Start Year,End Year,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",Country,Location
2021,Natural,Geophysical,Volcanic activity,Lava flow,IDN,South-Eastern Asia,Asia,,,,,,,2021,2021,,,1329,,1329,,,Indonesia,Central Java
2021,Natural,Hydrological,Flood,Flash flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,9,,1275,,1275,,,Indonesia,Batu and Malang (East Java Province)
2021,Natural,Hydrological,Flood,Riverine flood,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,3,,10000,,10000,,,Indonesia,North Kalimantan Province
2021,Natural,Hydrological,Landslide,Landslide,IDN,South-Eastern Asia,Asia,,,,,,,2021,2021,19,16,175,,191,,,Indonesia,Ngetos Village 
2021,Technological,Technological,Transport accident,Air,IDN,South-Eastern Asia,Asia,,,,,,,2021,2021,62,,,,,,,Indonesia,Java Sea
2021,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2021,2021,27,39,,,39,,,Indonesia,Sumedang
2021,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2021,2021,55,,81,,81,,,Indonesia,Kailimantan occidental
2021,Technological,Technological,Miscellaneous accident,Fire,IDN,South-Eastern Asia,Asia,,,,,,,2021,2021,41,31,,,31,,,Indonesia,Tangerang (Jakarta)
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,2,,25400,,25400,,,Indonesia,Java Island
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,7,,228650,,228650,50000,50000,Indonesia,west java
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,1,,90590,,90590,,,Indonesia,Central Java Province
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,,,59800,,59800,,,Indonesia,West Java
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,,,79095,,79095,,,Indonesia,Central Kalimantan
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heav rains,,,,,,2021,2021,,,2226,,2226,,,Indonesia,Wajo Regency
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2021,2021,,8,11020,,11028,,,Indonesia,Western Java
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,"Heavy rains and high tides, and exacerbated by La Nina",,,,,,2021,2021,6,8,78730,,78738,,,Indonesia,South Kalimantan
2021,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,,,,,,,2021,2022,2,,27500,,27500,,,Indonesia,Aceh Province
2022,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,,,,2022,2022,10,,6500,,6500,,,Indonesia,East java
2022,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,,,2022,2022,,2,300,,302,,,Indonesia,Maluku Province
2022,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-6.86,105289,2022,2022,,1975,13415,,15390,,,Indonesia,Banten
2022,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,7,-6.86,105289,2022,2022,,1975,13415,,15390,,,Indonesia, Jawa Barat
2022,Technological,Technological,Transport accident,Road,IDN,South-Eastern Asia,Asia,,,,,,,2022,2022,13,34,,,34,,,Indonesia,Java Island
2022,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,,,,2022,2022,4,3,16000,,16003,,,Indonesia,East Kalimantan
2022,Natural,Geophysical,Earthquake,Ground movement,IDN,South-Eastern Asia,Asia,,,,6,0.216,100096,2022,2022,15,388,24000,515,24903,,,Indonesia,West Sumatra Province
2022,Natural,Geophysical,Volcanic activity,Pyroclastic flow,IDN,South-Eastern Asia,Asia,,,,,,,2022,2022,,,253,,253,,,Indonesia,Special Region of Yogyakarta
2022,Technological,Technological,Transport accident,Water,IDN,South-Eastern Asia,Asia,,,,,,,2022,2022,28,,,,,,,Indonesia,Bali
2022,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2022,2022,1,,14700,,14700,,,Indonesia,Central Java
2022,Natural,Hydrological,Flood,,IDN,South-Eastern Asia,Asia,Heavy rains,,,,,,2022,2022,5,,31800,,31800,,,Indonesia,East Java
1965,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,Yes,,,,1965,1965,6,,300000,,300000,1000,8600,Malaysia,Peninsular East coast
1967,Technological,Technological,Miscellaneous accident,Fire,MYS,South-Eastern Asia,Asia,,,Yes,,,,1967,1967,,,3000,,3000,2600,21120,Malaysia,Pulau Ketam (West coast)
1967,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,Yes,,,,1967,1967,50,,125000,15000,140000,25600,207949,Malaysia,Kelantan
1967,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,Yes,,,,1967,1967,50,,125000,15000,140000,25600,207949,Malaysia, Terengganu
1968,Natural,Biological,Epidemic,Bacterial disease,MYS,South-Eastern Asia,Asia,,,Yes,,,,1968,1968,2,,5,,5,,,Malaysia,West Malaysia
1968,Natural,Meteorological,Storm,,MYS,South-Eastern Asia,Asia,,,,,,,1968,1968,21,,10000,,10000,,,Malaysia,Johore S. Lowlands
1970,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,Yes,,,,1970,1970,61,,243000,,243000,37000,258233,Malaysia,West Malaysia
1970,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,Yes,,,,1970,1970,61,,243000,,243000,37000,258233,Malaysia, Capital
1977,Natural,Biological,Epidemic,Bacterial disease,MYS,South-Eastern Asia,Asia,,,,,,,1977,1977,,,50,,50,,,Malaysia,West Malaysia
1977,Natural,Biological,Epidemic,Bacterial disease,MYS,South-Eastern Asia,Asia,,,,,,,1977,1977,,,50,,50,,,Malaysia, Capital
1978,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,1978,1978,,,3000,,3000,,,Malaysia,Johore Bahru
1980,Technological,Technological,Industrial accident,Explosion,MYS,South-Eastern Asia,Asia,,,,,,,1980,1980,3,200,3000,,3200,,,Malaysia,Port Kelang
1983,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,1983,1983,10,,15000,,15000,,,Malaysia,East coast
1984,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,1984,1984,200,,6,,6,,,Malaysia,Near Sabah
1986,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,1986,1986,11,,25000,,25000,11500,28430,Malaysia,East Coast States of Trengganu and Kelantan
1987,Technological,Technological,Miscellaneous accident,Fire,MYS,South-Eastern Asia,Asia,,,Yes,,,,1987,1987,,,1000,,1000,863,2058,Malaysia,Kampung Datuk Keramat area of Kuala Lumpur
1987,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,1987,1987,3,,2576,,2576,,,Malaysia,East coast states
1988,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,,,,,,,1988,1988,27,,60000,,60000,,,Malaysia,Kelantan 
1988,Technological,Technological,Miscellaneous accident,Collapse,MYS,South-Eastern Asia,Asia,,,,,,,1988,1988,30,300,,,300,,,Malaysia,Butterworth
1989,Technological,Technological,Transport accident,Air,MYS,South-Eastern Asia,Asia,,,,,,,1989,1989,21,,,,,,,Malaysia,Kelantan province
1989,Technological,Technological,Miscellaneous accident,Fire,MYS,South-Eastern Asia,Asia,,,,,,,1989,1989,27,,,,,,,Malaysia,Alor Setar
1991,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,,,,,,,1991,1991,263,,3750,,3750,,,Malaysia,Kuala Lumpur
1991,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,1991,1991,120,,,,,,,Malaysia,Near Batu Pahat
1991,Technological,Technological,Industrial accident,Explosion,MYS,South-Eastern Asia,Asia,,,Yes,,,,1991,1991,56,61,,,61,,,Malaysia,Sungei
1991,Technological,Technological,Industrial accident,Explosion,MYS,South-Eastern Asia,Asia,,,Yes,,,,1991,1991,56,61,,,61,,,Malaysia, Kuala Lumpur
1993,Natural,Geophysical,Mass movement (dry),Landslide,MYS,South-Eastern Asia,Asia,,,,,,,1993,1993,72,,,,,,,Malaysia,Kuala Lumpur
1993,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,,,103800,,,1993,1993,30,,20000,5000,25000,,,Malaysia,Kelantan
1993,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,1993,1993,28,,,,,,,Malaysia,Batam
1993,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,1993,1993,49,,,,,,,Malaysia,Kuala Lumpur
1994,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,1994,1994,61,,,,,,,Malaysia,Kuala Lumpur
1994,Technological,Technological,Miscellaneous accident,Fire,MYS,South-Eastern Asia,Asia,,,,,,,1994,1994,11,,,,,,,Malaysia,Sandakan
1995,Natural,Hydrological,Landslide,Landslide,MYS,South-Eastern Asia,Asia,,,,,,,1995,1995,20,23,,,23,,,Malaysia,Genting Highlands
1995,Natural,Hydrological,Landslide,Landslide,MYS,South-Eastern Asia,Asia,,,,,,,1995,1995,20,23,,,23,,,Malaysia, Kuala Lumpur
1995,Natural,Climatological,Wildfire,Forest fire,MYS,South-Eastern Asia,Asia,,,,,,,1995,1995,,,,3000,3000,,,Malaysia,Palau Gaya
1995,Technological,Technological,Transport accident,Air,MYS,South-Eastern Asia,Asia,,,,,,,1995,1995,32,19,,,19,,,Malaysia,Tawau
1995,Technological,Technological,Industrial accident,Fire,MYS,South-Eastern Asia,Asia,,,,,,,1995,1995,,,,,,18000,32008,Malaysia,Muar
1996,Natural,Meteorological,Storm,Tropical cyclone,MYS,South-Eastern Asia,Asia,,Flood,Yes,70,,,1996,1996,270,26,1150,3000,4176,52000,89834,Malaysia,Keningau
1996,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,,,,,,,1996,1996,,,418,,418,,,Malaysia,Maradu
1996,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,,,,,,,1996,1996,,,418,,418,,,Malaysia, Long Lama
1996,Natural,Biological,Epidemic,Bacterial disease,MYS,South-Eastern Asia,Asia,Food consumed,,,,,,1996,1996,,,607,,607,,,Malaysia,Penang
1996,Natural,Biological,Epidemic,Bacterial disease,MYS,South-Eastern Asia,Asia,Food consumed,,,,,,1996,1996,,,607,,607,,,Malaysia, Kedah
1996,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,,,,,,,1996,1996,13,,4800,,4800,,,Malaysia,Federal Territory
1996,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,,,,,,,1996,1996,13,,4800,,4800,,,Malaysia, Selangor
1996,Technological,Technological,Miscellaneous accident,Fire,MYS,South-Eastern Asia,Asia,,,,,,,1996,1996,11,,,,,,,Malaysia,Sarawak state
1996,Natural,Hydrological,Landslide,Mudslide,MYS,South-Eastern Asia,Asia,,,,,,,1996,1996,50,12,,250,262,,,Malaysia,Pos Dipang
1997,Natural,Meteorological,Storm,Tropical cyclone,MYS,South-Eastern Asia,Asia,,Flood,,11250,,,1997,1997,2,,2115,,2115,1000,1688,Malaysia,Kedah state
1997,Natural,Climatological,Wildfire,Forest fire,MYS,South-Eastern Asia,Asia,,,,,,,1997,1997,,,,,,300000,506433,Malaysia,Kuala Lumpur
1997,Natural,Biological,Epidemic,Bacterial disease,MYS,South-Eastern Asia,Asia,,,,,,,1997,1997,17,,,,,,,Malaysia,Sibu
1997,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,,,,,,,1997,1998,50,,19544,,19544,,,Malaysia,Sibu
1997,Technological,Technological,Transport accident,Air,MYS,South-Eastern Asia,Asia,,,,,,,1997,1997,10,,,,,,,Malaysia,Miri
1997,Technological,Technological,Transport accident,Air,MYS,South-Eastern Asia,Asia,,,,,,,1997,1997,10,,,,,,,Malaysia, Sarawak
1997,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,1997,1997,29,,,,,,,Malaysia,Detroit De Malacca
1997,Technological,Technological,Miscellaneous accident,Other,MYS,South-Eastern Asia,Asia,,,,,,,1997,1997,,,5000,,5000,,,Malaysia,Eastern Sarawak
1997,Natural,Biological,Epidemic,,MYS,South-Eastern Asia,Asia,,,,,,,1997,1997,28,,2140,,2140,,,Malaysia,Sibu
1998,Natural,Climatological,Wildfire,Forest fire,MYS,South-Eastern Asia,Asia,,,,,,,1998,1998,,,,,,2000,3325,Malaysia,Kuala Lumpur
1998,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,1998,1998,38,,,,,,,Malaysia,Au large de Johore
1998,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,Exposure to pigs,,,,,,1998,1999,105,,160,,160,,,Malaysia,Malaya Peninsula
1998,Natural,Climatological,Drought,Drought,MYS,South-Eastern Asia,Asia,,,,30,,,1998,1998,,,5000,,5000,,,Malaysia,Sabah
1998,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,1998,1998,,,2500,,2500,,,Malaysia,Penang & Kedah
1999,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Moosonal rain,,,,,,1999,1999,1,,2000,,2000,,,Malaysia,Pahang State
2000,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,Brief torrential rain,,,,,,2000,2000,12,,8000,,8000,1000,1574,Malaysia,Kuala Krai 
2000,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,,,,,,,2000,2000,2,,508,,508,,,Malaysia,Johor
2000,Technological,Technological,Transport accident,Road,MYS,South-Eastern Asia,Asia,,,,,,,2000,2000,15,,,,,,,Malaysia,Limbang (Sarawak state)
2000,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2000,2000,53,,,,,,,Malaysia,Port Dickson
2000,Natural,Biological,Epidemic,,MYS,South-Eastern Asia,Asia,,,,,,,2000,2000,2,,480,,480,,,Malaysia,Sarawak
2000,Natural,Meteorological,Storm,,MYS,South-Eastern Asia,Asia,,,,,,,2000,2000,,,500,,500,,,Malaysia,Pulau Pinang province
2001,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,,,,,,,2001,2001,,,10000,,10000,,,Malaysia,Teluk Ipil area
2001,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rain,,,22940,,,2001,2002,11,,18000,,18000,,,Malaysia,Terengganu provinces
2002,Natural,Meteorological,Storm,Convective storm,MYS,South-Eastern Asia,Asia,,,,,,,2002,2002,2,,155,,155,,,Malaysia,Sepang district
2002,Natural,Meteorological,Storm,Convective storm,MYS,South-Eastern Asia,Asia,,,,,,,2002,2002,2,,155,,155,,,Malaysia, Selangor province 
2001,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2001,2001,14,,,,,,,Malaysia,Northern Island of Langkawi
2001,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,2001,2001,,,5000,,5000,,,Malaysia,Inanam borough 
2001,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,2001,2001,,,200,,200,,,Malaysia,Kuala Lumpur province
2002,Natural,Hydrological,Landslide,Landslide,MYS,South-Eastern Asia,Asia,,,,,,,2002,2002,10,,,,,,,Malaysia,Simunjan district
2002,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,,,,,,,2003,2003,2,,3,,3,,,Malaysia,Sabah
2003,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,,,,,,,2003,2003,5,,3000,,3000,,,Malaysia,Kuala Terengganu
2003,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,,,21720,,,2003,2004,,,2000,,2000,,,Malaysia,Kampung Pengkalan
2003,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Continuous rains,,,,,,2003,2003,3,,13800,,13800,,,Malaysia,Perak provinces
2004,Natural,Meteorological,Storm,,MYS,South-Eastern Asia,Asia,,Flood,,,,,2004,2004,1,,40000,,40000,,,Malaysia,Kuala Lumpur province
2004,Natural,Geophysical,Earthquake,Tsunami,MYS,South-Eastern Asia,Asia,,Tsunami/Tidal wave,Yes,9,3295,95982,2004,2004,80,767,,4296,5063,500000,717294,Malaysia,Pulau Pinang province
2004,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rain,,,32620,,,2004,2004,3,,6900,,6900,,,Malaysia,Kuching
2004,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rain,,,32620,,,2004,2004,3,,6900,,6900,,,Malaysia, Bau
2004,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2004,2004,,,9138,,9138,,,Malaysia,Johor province
2004,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,,,,,,2004,2004,13,,,15000,15000,10000,14346,Malaysia,Bera area
2004,Natural,Meteorological,Storm,,MYS,South-Eastern Asia,Asia,,,,,,,2004,2004,,,1000,,1000,,,Malaysia,Kedah province
2005,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,Brief torrential rain,"Slide (land, mud, snow, rock)",,1470,,,2005,2005,4,,600,,600,,,Malaysia,Telipok village
2005,Natural,Climatological,Wildfire,Forest fire,MYS,South-Eastern Asia,Asia,,Pollution,,,,,2005,2005,,,,,,,,Malaysia,Port Klang city 
2005,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2005,2006,9,,30000,,30000,,,Malaysia,Kelantan
2006,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,"Slide (land, mud, snow, rock)",,18300,1.87,103.22,2006,2006,6,,100000,,100000,22000,29571,Malaysia,Johor provinces
2006,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2006,2006,,,1112,,1112,,,Malaysia,Johor province
2006,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,,,,4.33,102.54,2006,2006,,,4906,,4906,,,Malaysia,Kelantan provinces
2006,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rain,,,2590,5.27,102.15,2006,2006,,,500,,500,,,Malaysia,Kampung Manjoi borough 
2007,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,,Yes,26380,2.19,103.37,2007,2007,17,,137533,,137533,605000,790657,Malaysia,Johor
2007,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,,Yes,26380,2.19,103.37,2007,2007,17,,137533,,137533,605000,790657,Malaysia, Pahang provinces
2007,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,,,,3.89,102.93,2007,2007,29,,,29000,29000,363000,474394,Malaysia,Terengganu provinces
2007,Natural,Biological,Epidemic,Viral disease,MYS,South-Eastern Asia,Asia,,,,,,,2007,2007,56,,,,,,,Malaysia,Kuala Lumpur
2008,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,58100,4.94,101.8,2008,2008,,,2000,,2000,,,Malaysia,Terengganu provinces
2008,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,Heavy rain,,,67570,6.64,101.1,2008,2009,,,6000,,6000,,,Malaysia,Pahang
2009,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rain,,,14490,5.74,100.96,2009,2009,,,1793,,1793,,,Malaysia,Kedah State
2009,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rain,,,9062,4.99,102.36,2009,2009,,,9082,,9082,,,Malaysia,Terengganu province
2010,Technological,Technological,Transport accident,Road,MYS,South-Eastern Asia,Asia,,,,,,,2010,2010,26,11,,,11,,,Malaysia,Johor state
2011,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,,,62167,-405208,104.67,2011,2011,2,,20000,,20000,,,Malaysia,Johor province
2011,Natural,Hydrological,Landslide,Landslide,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2011,2011,16,6,,,6,,,Malaysia,Selangor province
2013,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Monsoonal rain,,,106698,358444,102.36,2013,2013,4,,75000,,75000,2000,2326,Malaysia,Kuala Lumpur
2013,Technological,Technological,Transport accident,Road,MYS,South-Eastern Asia,Asia,,,,,,,2013,2013,37,16,,,16,,,Malaysia,Genting Highlands region
2013,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2013,2013,23,,187,,187,,,Malaysia,Borneo
2013,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2013,2013,40,,4,,4,,,Malaysia,Johor state
2014,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,,Yes,,,,2014,2014,17,,230000,,230000,284000,325068,Malaysia,Pahang province
2014,Technological,Technological,Transport accident,Air,MYS,South-Eastern Asia,Asia,,,,,,,2014,2014,239,,,,,,,Malaysia,Kuala Lumpur
2014,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2014,2014,20,,,,,,,Malaysia,Near Klang port
2014,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2014,2014,30,,,,,,,Malaysia,Near Sepang district
2014,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2014,2014,20,,,,,,,Malaysia,Kuala Lumpur
2014,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2014,2014,11,,,,,,,Malaysia,Johor state
2014,Natural,Climatological,Drought,Drought,MYS,South-Eastern Asia,Asia,,,,,,,2014,2014,,,2200000,,2200000,,,Malaysia,Kedah province
2015,Natural,Geophysical,Earthquake,Ground movement,MYS,South-Eastern Asia,Asia,,"Slide (land, mud, snow, rock)",,6,5987,116541,2015,2015,24,10,,,10,2,2,Malaysia,Sabah province
2015,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,,,,2015,2015,1,,3000,,3000,,,Malaysia,Sarawak province
2015,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2015,2015,61,,,,,,,Malaysia,Selangor
2015,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2015,2015,61,,,,,,,Malaysia, Sabak Bernam
2016,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2016,2016,18,,,,,,,Malaysia,Johor state
2016,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy monsoonal rains,,,,,,2016,2016,,,6000,,6000,,,Malaysia,Sarawak province
2016,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2016,2016,28,,34,,34,,,Malaysia,Johor state
2016,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Torrential rain,,,,,,2016,2016,,,441,,441,,,Malaysia,Kedah province
2016,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,,,20486,5122,102.56,2016,2016,,,400,,400,,,Malaysia,Terengganu province
2016,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Continous rains,,,43580,4.7,102411,2016,2017,,,25000,,25000,132000,149029,Malaysia,Terengganu state
2017,Natural,Meteorological,Storm,,MYS,South-Eastern Asia,Asia,,Flood,,,,,2017,2017,,,426,,426,,,Malaysia,Penampang
2017,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2017,2017,2,,13000,,13000,,,Malaysia,Kelantan 
2017,Technological,Technological,Transport accident,Water,MYS,South-Eastern Asia,Asia,,,,,,,2017,2017,40,2,,,2,,,Malaysia,Kuala Lumpur
2017,Technological,Technological,Industrial accident,Collapse,MYS,South-Eastern Asia,Asia,,,,,,,2017,2017,11,,,,,,,Malaysia,Penang Island
2017,Technological,Technological,Miscellaneous accident,Fire,MYS,South-Eastern Asia,Asia,,,,,,,2017,2017,24,,,,,,,Malaysia,Kuala Lumpur
2017,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,,,78810,3932,102461,2017,2017,,,5481,,5481,,,Malaysia,Peninsular Malaysia 
2017,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rain,,,37944,5247,101026,2017,2017,7,,3500,,3500,,,Malaysia,Penang
2017,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rain,,,37944,5247,101026,2017,2017,7,,3500,,3500,,,Malaysia, Kedah
2018,Natural,Hydrological,Flood,Flash flood,MYS,South-Eastern Asia,Asia,Heavy rains,,,74296,3133,3659,2018,2018,,,4900,,4900,,,Malaysia,Sarawak State
2018,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Monsoonal rains,,,117492,365883,102337,2018,2018,2,,12000,,12000,,,Malaysia,Pahang State
2019,Technological,Technological,Miscellaneous accident,Other,MYS,South-Eastern Asia,Asia,,,,,,,2019,2019,,2355,,,2355,,,Malaysia,Johor
2019,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2019,2019,,,1000,,1000,,,Malaysia,Belaga district
2019,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,,,,,,,2019,2019,,,2412,,2412,,,Malaysia,Peninsular malaysia
2019,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,,,38171,102584,4415,2019,2019,2,,15000,,15000,,,Malaysia,Johor State
2019,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2019,2019,,,4065,,4065,,,Malaysia,Terengganu
2019,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2019,2019,,,4065,,4065,,,Malaysia, Kelantan
2020,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,"Slide (land, mud, snow, rock)",,,,,2020,2020,,,2000,,2000,,,Malaysia,Sarawak State 
2020,Natural,Hydrological,Flood,Riverine flood,MYS,South-Eastern Asia,Asia,,,,,,,2020,2020,,,9273,,9273,,,Malaysia,Terengganu
2020,Natural,Hydrological,Flood,,MYS,South-Eastern Asia,Asia,Heavy rains,,,,,,2020,2020,,,9000,,9000,6800,7119,Malaysia,Sabah State
